City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,tortoli,39.9256,9.6572,15.63,77,100,1.79,IT,1738416856
251,susuman,62.7833,148.1667,-43.03,99,82,0.29,RU,1738416857
252,llano bonito,7.9667,-80.4333,27.12,76,93,5.81,PA,1738416859
253,calama,-22.4667,-68.9333,18.27,29,0,4.12,CL,1738416624
254,tanjung selor,2.8372,117.3642,22.65,99,100,1.1,ID,1738416861
255,tchollire,8.4022,14.1698,36.94,8,80,2.0,CM,1738416862
256,mili,6.0815,171.735,27.3,79,62,8.34,MH,1738416864
257,shangrao,28.4532,117.9686,9.03,86,100,3.59,CN,1738416865
258,tarko-sale,64.9225,77.785,-20.36,98,100,4.64,RU,1738416867
259,vreed-en-hoop,6.8093,-58.198,27.9,65,53,4.37,GY,1738416869
260,vila velha,-20.3297,-40.2925,30.97,58,40,6.17,BR,1738416870
261,delta del tigre,-34.7633,-56.3853,27.23,54,20,1.03,UY,1738416871
262,san agustin de valle fertil,-30.6335,-67.4682,26.55,47,0,2.59,AR,1738416872
263,alta,69.9689,23.2717,-1.41,93,75,1.03,NO,1738416873
264,brevard,28.292,-80.7492,19.99,94,20,2.57,US,1738416874
265,loreto,22.2667,-101.9667,7.26,60,3,2.19,MX,1738416876
266,roma,43.2128,-75.4557,-11.29,75,20,5.14,US,1738416721
267,saint-philippe,-21.3585,55.7679,27.64,77,80,5.03,RE,1738416878
268,port saint john's,-31.6229,29.5448,22.87,90,100,2.9,ZA,1738416857
269,toba,34.4833,136.85,7.03,84,100,2.57,JP,1738416881
270,haiku-pauwela,20.9219,-156.3051,21.78,95,100,8.05,US,1738416882
271,los frentones,-26.4077,-61.4137,33.86,29,0,1.72,AR,1738416883
272,flying fish cove,-10.4217,105.6791,25.82,94,100,6.17,CX,1738416884
273,i-n-salah,27.1935,2.4607,18.02,32,0,3.37,DZ,1738416886
274,zag,46.9441,99.165,-27.57,87,4,2.03,MN,1738416888
275,bamboo flat,11.7,92.7167,27.05,74,40,1.03,IN,1738416889
276,errenteria,43.312,-1.9023,11.12,78,75,2.57,ES,1738416890
277,kars,40.602,43.095,3.25,38,0,2.06,TR,1738416767
278,mikumi,-7.4041,36.9831,26.86,76,97,0.37,TZ,1738416893
279,uturoa,-16.7333,-151.4333,27.47,77,22,4.94,PF,1738416894
280,quellon,-43.1167,-73.6167,14.35,60,3,1.32,CL,1738416748
281,margate,51.3813,1.3862,7.15,78,6,3.77,GB,1738416788
282,garoowe,8.4054,48.4845,29.58,23,15,7.88,SO,1738416897
283,khawr fakkan,25.3313,56.342,23.03,40,0,4.13,AE,1738416898
284,arno,60.1167,18.6333,-0.28,74,11,4.58,SE,1738416900
285,bayganin,48.6947,55.8742,-3.53,94,87,1.81,KZ,1738416901
286,tidjikja,18.5564,-11.4271,24.83,10,0,7.88,MR,1738416903
287,iskateley,67.6803,53.1512,-18.26,98,86,4.21,RU,1738416904
288,dolores,-36.3132,-57.6792,31.0,31,1,2.43,AR,1738416905
289,rabaul,-4.1967,152.1721,28.37,74,100,1.47,PG,1738416907
290,lesosibirsk,58.2358,92.4828,-22.88,97,95,2.59,RU,1738416908
291,bati,11.1833,40.0167,23.0,28,8,4.88,ET,1738416909
292,kalabo,-14.97,22.6814,26.56,65,88,3.48,ZM,1738416857
293,ust-tsilma,65.441,52.1498,-9.03,95,99,2.99,RU,1738416911
